b443.2673.16c6	100GE7/0/0     
f098.3877.f18b	Gi6/0/2        
0800.3e09.91f6	Gi6/0/2        
dc99.1428.cbc9	Gi6/1/2        
00a0.26c6.540d	Gi6/0/1        
d060.8c0d.116a	Gi6/0/2        
5006.abe4.af05	Gi6/0/0        
501d.93f8.8c25	Gi6/0/2        
5c83.8f46.8b00	Gi6/0/0        
f40f.1b76.1000	Gi6/1/3        
0025.649f.366e	Gi4/0/1        
0042.68ed.a9a0	Gi6/1/3        
0800.23ee.e32e	Gi6/0/0        
881d.fc17.4420	Gi6/1/2        
881d.fc17.4488	Gi6/1/3        
28ff.3e21.fa9e	Gi6/0/1        
d060.8c0d.1168	Gi6/0/2        
7c39.53f9.03d3	100GE7/0/0     
0002.ab11.be08	Gi6/1/3        
5006.abe4.a985	Gi6/1/3        
d867.d9fc.e6c1	Gi6/1/3        
3400.a3e2.8224	Gi6/1/3        
8cfd.183a.cc93	Gi6/0/2        
28c7.ceac.c485	Gi6/0/0        
d060.8c0d.d83a	100GE7/0/0     
0021.942a.e4d6	100GE7/0/0     
745a.aa6d.bde9	Gi6/1/2        
0007.7237.d9a2	Gi6/0/0        
5006.abe4.a965	Gi6/1/3        
0007.7237.8a6e	Gi6/0/0        
a415.8839.eb40	100GE7/0/0     
0021.9423.7008	100GE7/0/0     
00a0.0a10.adc3	Gi6/0/2        
f898.efe7.5504	Gi6/0/0        
5489.9817.2dc2	Gi4/0/2        
8069.33c0.b5ea	Gi6/0/0        
2c54.2d28.ea80	Gi4/0/5        
e024.7fc4.6a4a	Gi6/1/3        
b443.2673.16c6	100GE7/0/0     
00a0.26c6.4939	Gi6/0/0        
807d.14e6.641f	Gi6/1/2        
b443.2673.16c6	100GE7/0/0     
0090.d062.5fbc	Gi4/0/0        
0019.8f2f.00f9	Gi6/0/0        
b443.2673.16c6	100GE7/0/0     
bcf1.f269.a2c1	Gi6/1/2        
00d0.d610.6cb5	Gi6/1/3        
d0ef.c1ac.4c5f	100GE7/0/0     
c4b8.b46e.1fa9	Gi6/1/2        
14a0.f897.6ba4	Gi6/1/2        
b0ac.d21d.2cf5	Gi4/0/3        
00f8.2c0e.6485	Gi6/1/2        
9835.ed32.d4dc	100GE7/0/0     
3c75.4a72.c0e2	100GE7/0/0     
d48c.b55a.a480	Gi6/1/3        
00a0.26c6.5641	Gi6/0/2        
f07f.060c.c2e0	Gi6/0/0        
00d0.d653.272f	Gi6/0/1        
f02f.a7c3.0897	Gi6/0/2        
00d0.d648.4b52	Gi6/0/0        
2065.8eb8.e913	Gi6/1/3        
00d0.d648.4c46	Gi6/1/3        
0020.d237.6c7a	Gi6/0/2        
a03d.6f94.0fa1	Gi6/1/3        
0c41.e9c9.fd6c	Gi6/0/2        
5489.980d.82e8	Gi6/0/2        
0800.3e0e.0460	Gi6/0/0        
ec9e.cd1e.6022	100GE7/0/0     
00d0.d656.e6c7	Gi6/0/2        
00d0.d648.4c4a	Gi6/1/3        
00d0.d610.6c6f	Gi6/0/1        
0001.5c91.141a	Gi6/1/3        
0002.ab10.8c4d	Gi6/1/3        
00a0.0a10.980f	Gi6/0/0        
2cf8.9bb7.6c80	Gi6/1/2        
b443.2673.16c6	100GE7/0/0     
f898.ef14.4983	Gi6/0/2        
00a0.0a10.b071	Gi4/0/2        
00a0.0a10.b0b5	Gi4/0/5        
8cfd.1860.edef	100GE7/0/0     
0021.9409.75de	Gi6/0/1        
7c39.53f8.b759	Gi6/1/2        
70c7.f219.2462	Gi6/0/0        
00a0.0a10.b0a1	Gi6/1/3        
0020.d23f.812b	Gi4/0/2        
88cf.9866.731d	Gi6/1/3        
e0cc.7a07.c72c	Gi6/1/3        
ec4d.4773.93dc	Gi4/0/0        
0001.5c91.1e8c	Gi6/1/3        
501d.93f8.8c22	Gi6/0/2        
0021.940d.30b0	100GE7/0/0     
9c71.3ab4.5a91	Gi6/0/1        
0002.ab0f.ad64	Gi6/1/3        
70ca.9b57.c99e	Gi6/0/0        
0021.9433.42d5	100GE7/0/0     
b08b.cff5.e8c0	Gi6/1/2        
5061.bfc8.2020	Gi6/0/0        
0045.1dbb.dfa5	Gi4/0/1        
0002.ab10.8c4e	Gi6/1/3        
1051.72fa.dcc3	Gi6/1/2        
0020.d237.6973	Gi6/0/2        
b07d.47e6.4455	Gi6/0/0        
fc5b.3999.ace1	Gi6/1/3        
0025.9edc.301c	Gi6/0/0        
0081.c438.f3a0	Gi6/0/0        
0819.a6d2.e772	Gi6/1/3        
3872.c084.4561	Gi6/0/0        
b443.2673.16c6	100GE7/0/0     
b0ac.d266.d19b	Gi6/0/1        
0021.940d.87aa	Gi4/0/3        
b443.2673.16c6	100GE7/0/0     
0021.9423.c7c2	100GE7/0/0     
e0cc.7a07.c7c8	Gi6/1/2        
5489.9818.bde9	100GE7/0/0     
b443.2673.16c6	100GE7/0/0     
682c.7b89.aa45	Gi6/1/2        
7c0e.ce36.f000	Gi6/0/0        
0021.942b.df2c	Gi4/0/2        
2c97.b1e8.4e76	Gi6/0/0        
b443.2673.16c6	100GE7/0/0     
501c.bfce.0fe5	100GE7/0/0     
0081.c439.0601	Gi6/0/0        
0021.942c.62d2	Gi4/0/2        
f02f.a75b.bba4	Gi6/1/2        
0021.941e.ad22	100GE7/0/0     
0020.d254.d49d	Gi4/0/5        
ec4d.4773.95ed	Gi6/0/0        
b443.2673.16c6	100GE7/0/0     
b07d.47e6.5c15	Gi6/0/0        
b443.2673.16c6	100GE7/0/0     
fc5b.39c2.8620	Gi6/0/0        
f88e.859e.968a	Gi6/0/1        
58f3.9cd1.66a0	Gi6/0/2        
dc99.1401.6eb4	Gi6/1/2        
8069.338d.96d2	Gi6/0/2        
0020.d257.7c92	Gi6/0/2        
0021.941f.a86e	Gi6/1/2        
04fe.8dc0.2acd	Gi6/1/0        
58c2.32e0.ad20	100GE7/0/0     
7c39.53f8.4231	Gi6/1/2        
0020.d237.9471	Gi4/0/1        
0021.942c.1850	Gi6/0/1        
501d.93f8.8d71	100GE7/0/0     
f8c2.883a.4280	Gi6/0/2        
0020.d256.b0a5	Gi4/0/5        
0800.3ebd.b0cf	100GE7/0/0     
0800.3e0e.01b2	Gi6/0/2        
3c0e.2325.6f95	Gi6/1/3        
b443.2673.16c6	100GE7/0/0     
346a.c2af.e7f7	Gi6/0/1        
12d0.d655.2d1a	100GE7/0/0     
0025.9ebc.3085	100GE7/0/0     
f898.efe7.51b4	Gi6/1/3        
0020.d254.71ed	Gi4/0/5        
7c39.53f8.78c5	Gi6/1/2        
7c39.53f8.f3d7	100GE7/0/0     
4cb1.6cf4.057f	100GE7/0/0     
ecf0.feed.0a38	Gi6/0/0        
00b1.e3d8.1f45	Gi6/1/2        
b443.2673.16c6	100GE7/0/0     
2065.8ef1.5d58	Gi6/0/0        
5489.9818.714d	Gi6/0/0        
00f6.636c.0600	Gi6/1/3        
0021.940c.cf72	100GE7/0/0     
b0ac.d21e.2dc7	100GE7/0/0     
0019.8f2f.ea4e	Gi6/0/2        
2cf8.9bb7.b080	Gi6/1/3        
40ee.dd55.02f2	Gi6/0/0        
d0ef.c15d.2f72	Gi6/1/2        
0021.940a.4b26	100GE7/0/0     
b443.2673.16c6	100GE7/0/0     
3872.c002.d643	Gi4/0/2        
845b.1230.c4af	Gi6/0/0        
b443.2673.16c6	100GE7/0/0     
dc99.1401.6c56	Gi4/0/2        
7079.b36a.abf0	Gi6/0/1        
3872.c015.ede3	100GE7/0/0     
7c39.53f7.de69	Gi4/0/2        
ecf0.feeb.e168	Gi6/1/2        
00a0.26c6.5a65	Gi6/0/2        
8cfd.1860.f126	Gi4/0/0        
0020.d256.a7e1	Gi4/0/5        
0020.d251.e52c	Gi6/0/1        
346a.c25d.1690	Gi6/1/2        
b443.2673.16c6	100GE7/0/0     
b443.2673.16c6	100GE7/0/0     
dc99.1428.cbd6	Gi6/1/2        
dc99.1401.6eae	Gi4/0/0        
0020.d246.9edc	Gi4/0/5        
0090.d063.4572	Gi6/0/2        
3872.c00f.3881	Gi4/0/2        
0021.940a.57bc	Gi4/0/2        
8cfd.1860.f126	Gi4/0/0        
f479.60c5.d88c	Gi6/0/0        
b415.13f5.3232	Gi6/0/1        
3ce8.241d.0a4e	Gi6/0/0        
0020.d239.2e20	Gi4/0/2        
b443.2673.16c6	100GE7/0/0     
4482.e516.58f8	Gi6/0/2        
9462.69f7.20dc	Gi4/0/3        
883f.d3cd.80db	Gi6/0/0        
5489.9818.bcab	100GE7/0/0     
