5006.abe4.ee25	100GE7/0/0     
501d.93f8.8d71	Gi6/0/4        
f8c2.883a.4281	100GE7/0/0     
00a0.0acc.46b6	100GE7/0/0     
f07f.060d.42c0	100GE7/0/0     
00d0.d610.6bbf	100GE7/0/0     
b443.2673.128e	100GE7/0/0     
0025.9ed3.c12a	Gi6/0/4        
00a0.0aca.7616	100GE7/0/0     
00a0.0a10.adc7	Gi6/0/4        
70ca.9bbe.cdf5	Eth-Trunk2     
00d0.d648.4b52	100GE7/0/0     
00a0.0a10.b03d	Gi6/0/4        
00d0.d610.6aca	100GE7/0/0     
0c41.e9a0.dbe7	Gi6/0/4        
00a0.0acc.5c70	100GE7/0/0     
00d0.d610.6955	100GE7/0/0     
00f6.636c.0600	100GE7/0/0     
40ee.dd55.0496	Gi6/0/4        
003a.7ddc.0e3f	Gi6/0/4        
2cd0.2d64.61a0	Gi6/0/4        
487b.6bf6.03a7	100GE7/0/0     
88bc.c1a0.d628	Gi6/0/4        
8069.338d.96d2	100GE7/0/0     
60de.f3c6.2c0a	100GE7/0/0     
b443.2673.128e	100GE7/0/0     
60de.f3c6.2c07	100GE7/0/0     
ecbd.1d7e.f3c0	Gi6/0/4        
4482.e516.590d	Gi6/0/4        
f07f.0661.9320	100GE7/0/0     
e024.7fc4.6a4f	100GE7/0/0     
f479.6084.8d3b	Gi6/0/4        
a03d.6f94.0fa0	100GE7/0/0     
dc99.1401.6e0c	Gi6/0/4        
ec4d.4773.976b	Gi6/0/4        
0021.9424.b444	Gi6/0/4        
5006.abe4.f4e5	Eth-Trunk3     
5489.980d.82e8	100GE7/0/0     
ec4d.4773.9298	Gi6/0/4        
e024.7fc4.6a4d	100GE7/0/0     
b07d.47ec.15e5	100GE7/0/0     
f098.3877.f18b	100GE7/0/0     
4482.e516.58dc	100GE7/0/0     
f02f.a7c3.0897	100GE7/0/0     
f098.3877.f83c	100GE7/0/0     
3400.a3e2.8224	100GE7/0/0     
0021.9410.c62c	Gi4/0/1        
b443.2673.128e	100GE7/0/0     
