7c39.53f8.b693	Gi0/2/5        
0021.941e.87ba	Gi0/2/5        
b0ac.d266.4b07	Gi0/2/5        
d060.8c0d.dff8	Gi0/2/5        
0021.941a.2612	Gi0/2/5        
b0ac.d266.fbb7	Gi0/2/5        
646d.6c6f.1763	Gi0/2/5        
0021.9422.9d00	Gi0/2/5        
0021.941e.132c	Gi0/2/5        
0021.9423.e166	Gi0/2/5        
0021.9431.4515	Gi0/2/5        
f88e.859e.82ad	Gi0/2/6        
0021.941a.4802	Gi0/2/6        
78c1.a722.4122	Gi0/2/5        
0021.940c.975c	Gi0/2/6        
f88e.85e7.8ad8	Gi0/2/5        
b4f5.8e12.1440	Gi0/2/6        
0021.942c.4082	Gi0/2/5        
0021.9417.d60a	Gi0/2/5        
3091.8f0b.6064	Gi0/2/5        
0021.942d.2116	Gi0/2/6        
0021.941a.4d5a	Gi0/2/5        
0021.942c.415a	Gi0/2/5        
7c39.53f8.dd93	Gi0/2/4        
78c1.a722.29f6	Gi0/2/5        
0021.9431.e67f	Gi0/2/5        
0021.940b.41c8	Gi0/2/5        
0021.941f.9980	Gi0/2/5        
0021.9422.e0ec	Gi0/2/6        
807d.14e6.e43d	Gi0/2/5        
b4f5.8e12.a482	Gi0/2/5        
3091.8f0b.60fa	Gi0/2/5        
5078.b397.e8cc	Gi0/2/5        
b0ac.d265.c303	Gi0/2/5        
0021.9409.6978	Gi0/2/5        
0021.942a.d95a	Gi0/2/4        
0014.7f35.e25c	Gi0/2/5        
0021.940d.6590	Gi0/2/5        
9813.334c.386c	Gi0/2/4        
0021.9433.cf57	Gi0/2/4        
0021.9431.4437	Gi0/2/4        
7c39.53f8.fd33	Gi0/2/5        
9813.334c.0a44	Gi0/2/5        
d060.8c0c.7d5c	Gi0/2/4        
5078.b399.3304	Gi0/2/4        
b0ac.d221.1c0b	Gi0/2/4        
0021.941e.3b76	Gi0/2/6        
7c39.53f8.476b	Gi0/2/5        
1c59.9ba2.5c38	Gi0/2/4        
7c39.53f9.03d3	Gi0/2/4        
0020.d23b.e546	Gi0/2/4        
0021.9434.8cc3	Gi0/2/4        
ecf0.feec.1500	Gi0/2/5        
5078.b399.35e4	Gi0/2/4        
001f.9f89.13c4	Gi0/2/5        
3099.3597.9b4f	Gi0/2/5        
3400.a3e2.8390	Gi0/2/4        
0026.4466.ee86	Gi0/2/5        
ecf0.feec.d098	Gi0/2/5        
78c1.a722.566e	Gi0/2/4        
3872.c00f.9dc6	Gi0/2/4        
0021.9423.e172	Gi0/2/4        
ecf0.feed.19b8	Gi0/2/5        
0021.9422.e938	Gi0/2/4        
28ff.3e22.1b48	Gi0/2/4        
0024.1788.246e	Gi0/2/4        
78c1.a721.ca8e	Gi0/2/4        
3099.3597.9b51	Gi0/2/5        
b4f5.8e12.0d0a	Gi0/2/5        
9813.334c.4420	Gi0/2/4        
0021.942c.1508	Gi0/2/5        
78c1.a722.4874	Gi0/2/4        
8c68.c8ab.9c08	Gi0/2/4        
3099.3597.85cf	Gi0/2/5        
b0ac.d21d.32fb	Gi0/2/4        
0021.942b.c210	Gi0/2/4        
d060.8c0d.dfe0	Gi0/2/5        
d060.8c0c.fb18	Gi0/2/4        
